Species	Priority	N_act	N_compl	N_partc	N_oncur	N_nocur	N_nostr	N_obsol	N_disco	Total	Threat_allev	Improve_demo	Listing_chng	five.yr_revw	listing_date	act_recov_pl	priority_num	tot_act_comp	pct_act_comp	Comments	time_listed	time_plans	time_review	status_cat	combo_score	priority_conflict
Newells Shearwater	3	0	0	0	0	0	0	0	0	39	0	-1	T-->E	9/27/11	10/28/75	2/1/83	3	0	0.00%	0.00%	14444	11791	1326	Degrade	-1	
Nihoa	1	21	0	2	14	0	5	0	0	24	0	0	E	9/20/11	3/11/67	10/4/84	2	0	0.00%	0.00%	17597	11180	1333	No Change	0	
Nihoa	2	2	0	0	2	0	0	0	0	24	0	0	E	9/20/11	3/11/67	10/4/84	2	0	0.00%	0.00%	17597	11180	1333	No Change	0	
Nihoa	3	1	0	0	0	0	1	0	0	24	0	0	E	9/20/11	3/11/67	10/4/84	2	0	0.00%	0.00%	17597	11180	1333	No Change	0	
Northeastern Beach Tiger Beetle	1	5	0	0	3	1	1	0	0	19	0	-1	T-->E	3/19/09	8/7/90	9/29/94	6	4	21.05%	0.00%	9047	7533	2248	Degrade	-1	
Northeastern Beach Tiger Beetle	2	9	2	0	3	1	0	1	0	19	0	-1	T-->E	3/19/09	8/7/90	9/29/94	6	4	21.05%	0.00%	9047	7533	2248	Degrade	-1	
Northeastern Beach Tiger Beetle	3	5	2	0	0	1	0	2	0	19	0	-1	T-->E	3/19/09	8/7/90	9/29/94	6	4	21.05%	0.00%	9047	7533	2248	Degrade	-1	
Ohlone Tiger Beetle	1	1	0	1	0	0	0	0	0	23	-0.5	-1	E	11/13/09	10/3/01	9/28/98	2	0	0.00%	0.00%	4972	6073	2009	No Change	-1	
Ohlone Tiger Beetle	2	12	0	0	4	7	0	1	0	23	-0.5	-1	E	11/13/09	10/3/01	9/28/98	2	0	0.00%	0.00%	4972	6073	2009	No Change	-1	
Ohlone Tiger Beetle	3	10	0	0	7	0	3	0	0	23	-0.5	-1	E	11/13/09	10/3/01	9/28/98	2	0	0.00%	0.00%	4972	6073	2009	No Change	-1	
Oregon Silverspot Butterfly	1	17	0	1	11	0	5	0	0	68	0	-1	T-->E	1/3/12	7/2/80	8/22/01	3	1	1.47%	0.00%	12735	5014	1228	Degrade	-1	C
Oregon Silverspot Butterfly	2	47	1	0	19	0	27	0	0	68	0	-1	T-->E	1/3/12	7/2/80	8/22/01	3	1	1.47%	0.00%	12735	5014	1228	Degrade	-1	C
Oregon Silverspot Butterfly	3	4	0	0	1	0	3	0	0	68	0	-1	T-->E	1/3/12	7/2/80	8/22/01	3	1	1.47%	0.00%	12735	5014	1228	Degrade	-1	C
Painted Snake Coiled Forest Snail	1	0	0	0	0	0	0	0	0	14	0	0	T	1/16/08	8/2/78	10/14/82	8	0	0.00%	NDIV/0!	13435	11901	2676	No Change	0	C
Painted Snake Coiled Forest Snail	2	3	0	0	0	1	2	0	0	14	0	0	T	1/16/08	8/2/78	10/14/82	8	0	0.00%	NDIV/0!	13435	11901	2676	No Change	0	C
Painted Snake Coiled Forest Snail	3	11	0	0	0	4	7	0	0	14	0	0	T	1/16/08	8/2/78	10/14/82	8	0	0.00%	NDIV/0!	13435	11901	2676	No Change	0	C
Puritan Tiger Beetle	1	4	0	1	3	0	0	0	0	22	-1	-1	T-->E	6/13/07	8/7/90	9/29/93	5	6	27.27%	0.00%	9047	7898	2893	Degrade	-2	
Puritan Tiger Beetle	2	15	5	4	6	0	0	0	0	22	-1	-1	T-->E	6/13/07	8/7/90	9/29/93	5	6	27.27%	0.00%	9047	7898	2893	Degrade	-2	
Puritan Tiger Beetle	3	3	1	0	1	0	0	0	0	22	-1	-1	T-->E	6/13/07	8/7/90	9/29/93	5	6	27.27%	0.00%	9047	7898	2893	Degrade	-2	
Purple Cats Paw Pearlymussel	1	7	0	0	3	0	0	4	0	13	0	-1	E	9/24/10	7/10/90	3/10/92	6	0	0.00%	0.00%	9075	8466	1694	No Change	-1	
Purple Cats Paw Pearlymussel	2	4	0	0	0	0	0	4	0	13	0	-1	E	9/24/10	7/10/90	3/10/92	6	0	0.00%	0.00%	9075	8466	1694	No Change	-1	
Purple Cats Paw Pearlymussel	3	2	0	0	0	0	0	2	1	13	0	-1	E	9/24/10	7/10/90	3/10/92	6	0	0.00%	0.00%	9075	8466	1694	No Change	-1	
Smiths Blue Butterfly	1	0	0	0	0	0	0	0	0	72	0	-1	E-->T	9/26/06	6/8/76	11/9/84	9	3	4.17%	NDIV/0!	14220	11144	3153	Improve	-1	C
Smiths Blue Butterfly	2	63	3	4	35	0	11	10	0	72	0	-1	E-->T	9/26/06	6/8/76	11/9/84	9	3	4.17%	NDIV/0!	14220	11144	3153	Improve	-1	C
Smiths Blue Butterfly	3	9	0	0	4	0	5	0	0	72	0	-1	E-->T	9/26/06	6/8/76	11/9/84	9	3	4.17%	NDIV/0!	14220	11144	3153	Improve	-1	C
Snake River Physa Snail	1	17	2	2	5	2	2	4	0	31	0.5	1	E-->T	5/23/14	12/14/92	11/26/95	5	3	9.68%	11.76%	8187	7110	357	Improve	1.5	C
